Money_spent Amount_people People_dancing 
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
27251 10 0
